symbol,event_time_et,event_time_utc,event_type,open,close,pct_move_1m,pct_move_3m,rel_vol_30d,prev_close,price_929,day_gain_pct_929plus,day_gain_pct_event,float_shares,float_lt_20m,pillar_day_gain_10pct,pillar_rel_vol_5x,pillar_score,news_has_catalyst,news_article_count,news_specific_count
JL,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,5.2,5.24,0.7692307692307665,3.149606299212593,1.315658096494669,5.08,5.08,0.0,3.149606299212593,3760000,True,False,False,1,,,
LIDR,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,3.68,3.7463,1.8016304347826084,3.2038567493112957,2.6674588111401323,3.33,3.4597,3.894894894894896,12.501501501501512,45050000,False,False,False,0,,,
MRM,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,2.11,2.1899,3.786729857819915,3.7818112885645183,0.07857371457972726,2.1,2.03,-3.3333333333333437,4.280952380952385,7900000,True,False,False,1,,,
NKLR,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,14.99,15.39,2.6684456304202797,3.8545631225200383,1.889671307814222,15.52,15.65,0.8376288659793785,-0.8376288659793785,70300000,False,False,False,0,,,
NVA,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,24.23,24.73,2.0635575732562916,4.121931708138593,0.5130944558696784,22.11,23.7099,7.236092265943017,11.849841700587982,456150000,False,False,False,0,,,
OKLL,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,97.68,99.34,1.6994266994266871,4.239244491080796,1.0279263234393918,89.5,88.02,-1.6536312849162016,10.994413407821234,,,False,False,0,,,
PRZO,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,1.78,1.81,1.6853932584269593,3.1632943858649343,0.4746341063256901,1.67,1.72,2.9940119760479167,8.383233532934131,21170000,False,False,False,0,,,
SORA,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,5.855,5.795,-1.0247651579846417,4.792043399638324,0.5364104163418058,6.09,5.9,-3.1198686371100126,-4.844006568144499,24860000,False,False,False,0,,,
UTSI,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,2.3,2.3,0.0,6.481481481481466,0.30656620021528525,2.45,2.16,-11.836734693877549,-6.122448979591855,9160000,True,False,False,1,,,
YSXT,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,2.6,2.62,0.7692307692307665,4.800000000000004,0.6318081565346495,2.06,2.58,25.242718446601952,27.184466019417485,23440000,False,True,False,1,,,
